                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 0.5889,                0.44264,                0.03928,                0.90318,                0.90668,                0.91811,                0.39907,                 0.5781,                0.42646,                0.04856,                 0.0001,                 0.0001,                 0.0001
                    134,                0.60403,                0.43699,                0.04033,                0.90236,                0.90731,                0.91859,                0.39892,                0.57799,                0.42645,                0.04853,                 0.0001,                 0.0001,                 0.0001
                    135,                0.58974,                 0.4398,                0.03943,                0.90391,                0.90818,                0.91944,                0.39913,                  0.578,                0.42656,                0.04855,                 0.0001,                 0.0001,                 0.0001
                    136,                0.59414,                0.44196,                0.04076,                0.90446,                0.90781,                0.91898,                0.39873,                0.57806,                0.42674,                0.04856,                 0.0001,                 0.0001,                 0.0001
                    137,                0.59341,                0.44134,                0.03856,                0.90294,                0.90607,                0.91895,                0.39928,                0.57802,                0.42752,                0.04858,                 0.0001,                 0.0001,                 0.0001
                    138,                0.60115,                0.44069,                0.03968,                0.90182,                0.90737,                0.91781,                0.39901,                0.57798,                0.42743,                0.04859,                 0.0001,                 0.0001,                 0.0001
                    139,                0.59602,                0.43694,                0.03903,                0.90178,                0.90835,                0.91788,                0.39853,                0.57782,                0.42744,                0.04855,                 0.0001,                 0.0001,                 0.0001
                    140,                0.58584,                0.43936,                0.03788,                0.90288,                0.90657,                0.91814,                 0.3984,                0.57788,                0.42714,                0.04821,                 0.0001,                 0.0001,                 0.0001
                    141,                 0.5891,                0.43583,                0.03991,                0.90053,                0.90835,                0.91739,                0.39886,                0.57778,                  0.427,                 0.0482,                 0.0001,                 0.0001,                 0.0001
                    142,                 0.5967,                  0.437,                0.04174,                0.90145,                  0.907,                0.91792,                0.39952,                 0.5778,                0.42719,                 0.0482,                 0.0001,                 0.0001,                 0.0001
                    143,                0.60118,                0.43957,                0.04181,                 0.9021,                0.90607,                  0.918,                0.39912,                0.57776,                 0.4274,                 0.0482,                 0.0001,                 0.0001,                 0.0001
                    144,                 0.5863,                0.43745,                0.03879,                0.89963,                0.90922,                0.91781,                0.39948,                0.57779,                0.42743,                0.04819,                 0.0001,                 0.0001,                 0.0001
                    145,                0.58507,                0.43857,                0.04002,                0.90277,                0.90737,                0.91879,                 0.3999,                0.57772,                0.42725,                0.04819,                 0.0001,                 0.0001,                 0.0001
                    146,                0.57322,                0.43633,                0.03833,                 0.9069,                0.90476,                0.91918,                 0.4002,                0.57766,                 0.4265,                0.04821,                 0.0001,                 0.0001,                 0.0001
                    147,                0.58024,                0.43779,                0.03891,                0.90587,                0.90398,                 0.9182,                    0.4,                0.57738,                 0.4275,                0.04828,                 0.0001,                 0.0001,                 0.0001
                    148,                0.59493,                0.44044,                0.04064,                0.90585,                0.90574,                0.91853,                0.40062,                0.57725,                0.42625,                0.04837,                 0.0001,                 0.0001,                 0.0001
                    149,                0.59113,                0.43723,                0.04053,                0.90565,                0.90574,                0.91851,                0.40032,                0.57721,                0.42645,                0.04836,                 0.0001,                 0.0001,                 0.0001
                    150,                0.58312,                0.43482,                0.03919,                0.90448,                0.90493,                0.91811,                 0.4007,                0.57708,                 0.4264,                0.04834,                 0.0001,                 0.0001,                 0.0001
