time_s,x_simulink_m,theta_simulink_rad,x_multibody_m,theta_multibody_rad
2.66,0.133782234296669,5.66230000711835,0.134537889028854,5.66072345474879
2.67,0.1366040781462,5.64484338617123,0.13736647751998,5.64321856945574
2.68,0.139489814171718,5.62675443708761,0.140258645178702,5.62508033986341
2.69,0.142436015081552,5.60802254509662,0.14321092328767,5.60629816012249
2.7,0.145438811487381,5.58863710895568,0.146219398519025,5.58686143934136
2.71,0.148493861646368,5.56858756177094,0.149279682688024,5.56675962224248
2.72,0.151596321013586,5.54786339038529,0.15238688233632,5.54598220834965
2.73,0.15474081180566,5.52645415293513,0.155535568346747,5.52451876930684
2.74,0.157921392790959,5.50434949416083,0.158719745805527,5.50235896391379
2.75,0.161131529533502,5.48153915804706,0.161932824339312,5.47949255045539
2.76,0.164364065326614,5.45801299736743,0.165167589163002,5.45590939590147
2.77,0.167611193057914,5.43376097971592,0.168416173079446,5.43159948156194
2.78,0.170864428249269,5.40877318962433,0.171670029673821,5.40655290480067
2.79,0.17411458351378,5.38303982639284,0.174919907943646,5.38075987643994
2.8,0.177351744666951,5.35655119729909,0.178155828600132,5.35421071352629
2.81,0.180565248721186,5.32929770590004,0.181367062268435,5.3268958271791
2.82,0.183743663982427,5.30126983520132,0.184542109803899,5.29880570530373
2.83,0.18687477245594,5.27245812553942,0.187668684929593,5.26993089002302
2.84,0.189945554756325,5.2428531471031,0.190733699388579,5.24026194976259
2.85,0.192942177706333,5.21244546711182,0.193723250794031,5.20978944601726
2.86,0.195849984802169,5.18122561176964,0.196622613353583,5.17850389492778
2.87,0.198653489722455,5.14918402322373,0.199416231643723,5.14639572390806
2.88,0.201336373067839,5.11631101187702,0.202087717619378,5.11345522368479
2.89,0.20388148254512,5.08259670453589,0.204619851068996,5.07967249624354
2.9,0.20627083686711,5.04803098901769,0.206994583778335,5.04503739932127
2.91,0.208485633760151,5.0126034560017,0.209193047776707,5.00953948824551
2.92,0.21050626275185,4.97630333908536,0.211195568297738,4.97316795610192
2.93,0.212312324184464,4.93911945420994,0.212981682815855,4.93591157341702
2.94,0.213882658530707,4.90104013985357,0.214530170107373,4.89775862878215
2.95,0.215195401606888,4.86205319966448,0.215819105244053,4.85869687212424
2.96,0.216228151983452,4.82214584953299,0.2168260353061,4.8187134626628
2.97,0.216959121379277,4.78130467149297,0.217529364189294,4.77779492399291
2.98,0.21734775010534,4.73951557731592,0.217882483827915,4.73592710921753
2.99,0.217393735834769,4.6967637852343,0.217910253763339,4.69309517963818
3,0.217088015039555,4.65303381392284,0.217562184014423,4.64928360122015
3.01,0.216352598026863,4.60830949870197,0.216791260641518,4.60447616389976
3.02,0.215193163764038,4.56257403592439,0.215593561356882,4.55865602981611
3.03,0.213580885188665,4.51581006268518,0.21394085991592,4.51180581774628
3.04,0.211489497133381,4.46799978036646,0.21180698355472,4.46390773240975
3.05,0.208893317369437,4.41912513208807,0.209166323118848,4.41494374887918
3.06,0.205767207427807,4.36916804585882,0.205993835321186,4.36489586405833
3.07,0.202086791635897,4.31811075704235,0.202265272700338,4.31374642899199
3.08,0.197828774267142,4.26593622554557,0.197957508127407,4.26147857752281
3.09,0.192971332368827,4.21262866469499,0.193048934933498,4.20807676828366
3.1,0.187494585131885,4.15817419976123,0.18751994406162,4.15352745786576
3.11,0.181381145598349,4.10256167404119,0.181353483946584,4.0978199227308
3.12,0.174616760541608,4.04578361863652,0.174535708578532,4.04094724534192
3.13,0.167191041835566,3.98783739769104,0.16705671642287,3.98290747517409
3.14,0.159098287707303,3.92872653278616,0.158911377645741,3.92370496664338
3.15,0.150338384570066,3.86846219725419,0.150100239057546,3.86335188240641
3.16,0.14091776923043,3.80706485226231,0.140630484946154,3.80186983090928
3.17,0.130850416967498,3.74456597102022,0.130516917414725,3.73929158102984
3.18,0.120158803668549,3.68100976577277,0.119782902460552,3.67566276478586
3.19,0.108874771183784,3.61645479648786,0.108461209294303,3.61104344380447
3.2,0.097040206918058,3.550975304906,0.0965946530487028,3.54550938143844
3.21,0.0847074354158443,3.48466209023071,0.0842364391738689,3.47915283762568
3.22,0.0719392164493676,3.41762273288172,0.0714501065582307,3.41208269741429
3.23,0.0588082561792386,3.3499809906379,0.0583089807718983,3.34442376622566
3.24,0.0453961690798034,3.28187524475671,0.0448950820267569,3.27631512196664
3.25,0.0317918786491105,3.21345596319819,0.0312974839060049,3.20790750559357
3.26,0.018089509306609,3.14488226482327,0.017610182809365,3.13935984736409
3.27,0.00438588967945112,3.07631779274441,0.00392960343663409,3.07083514566283
3.28,-0.00922215541628094,3.00792621043178,-0.00964808129575276,3.00249601323257
3.29,-0.0226405141170917,2.93986669513339,-0.0230296093049488,2.93450025821444
3.3,-0.0357802873093738,2.87228980377436,-0.0361270644536534,2.86699686118577
3.31,-0.0485599010134898,2.805334026565,-0.0488599193496713,2.80012264619114
3.32,-0.0609067101474768,2.7391232386447,-0.0611565741016671,2.73399983986386
3.33,-0.0727580402978078,2.67376513571043,-0.0729553448807359,2.66873459281551
3.34,-0.084061678769954,2.60935062229324,-0.0842049174227511,2.60441642628532
3.35,-0.0947758768901521,2.54595403103603,-0.0948643279293835,2.54111848252306
3.36,-0.104868957012703,2.48363399732088,-0.104902562745771,2.47889840750635
3.37,-0.114318630013327,2.4224347951415,-0.114297879125542,2.41779967814982
3.38,-0.12311112594541,2.36238794968033,-0.123036945985884,2.35785319589953
3.39,-0.131240227303655,2.30351396937463,-0.131113890773389,2.29907899492466
